commercial_id,title,nice_class,description,year,lustrum,duration_in_seconds,source,has_been_transcribed,palette_extracted
9654702c650843dca8edc80d7280a032_015,Kellogg’S Corn Flakes,30,Breve spot d’inizio anni 80 per i fiocchi di mais della Kellogg’s.,1981,1980_1984,16.0,Spot 80,True,True
662af203c9fe4c85bb772e99792a07e3_015,Richardson-Vicks Inc. Oil Of Olaz,3,"Spot molto semplice che rientra nel canone degli spot di prodotti per la cosmesi. Una bella fanciulla si cosparge il volto con il prodotto mostrando un’espressione di benessere, mentre la voce fuori campo esplica le virtù del prodotto. Una nota sullo slogan: “Può aiutarti a sembrare più giovane” sembra abbastanza verosimile, non promette miracoli. Differente da molti slogan attuali che usano le parole in maniera più sofisticata e a volte possono risultare ingannevoli.",1981,1980_1984,17.0,Spot 80,True,True
7247b77c7cdd4a2fa9d3bdde79369550_030,Toseroni Blob Gelato Con Fabrizio Frizzi,30,"Tanti che hanno vissuto a fondo le favolose estati anni ’80 ricordano sicuramente il Blob, un cono con la “palla” superiore di gelato ricoperta da uno strato di cioccolato e prodotto dalla Toseroni che poi sarebbe diventata Eldorado (dice niente il logo?) che a sua volta verrà assorbita da Algida. Sulle note di un accattivante jingle dal sapore ska, alcuni ragazzi gustano spiritosamente il Blob in una spiaggia chiarissimamente costruita in uno studio. Uno di loro è un giovanissimo Fabrizio Frizzi, prima di “Scommettiamo che”, prima di “Pane e marmellata” e anche prima di “Tandem”.",1981,1980_1984,31.0,Spot 80,True,True
893179ac1f9b4504bc8c3fec4dae3ab8_015,Terme Di Crodo Crodo Aranciata,32,"Tra le tante marche di bibite del passato, la Crodo sicuramente occupa un posto importante nella memoria dei settanta-ottantiani. Ecco lo spot dell’aranciata, presentata con un’enfasi che risente ancora vistosamente della scuola caroselliana.",1981,1980_1984,16.0,Spot 80,True,True
93998ecf6d994a7eb64520e4596e4d23_030,Lever Div. Della Unil Bio Presto Bucato A Mano,3,"Spot STO-RI-CO: l’immagine dell’uomo in ammollo è rimasta intatta nell’immaginario collettivo per anni e ora ritorna visibile su Tecatà. Retroscena un po’ triste: il protagonista è Franco Cerri, chitarrista jazz di fama internazionale, ricordato dai più solamente per questa sua partecipazione come “uomo in ammollo”. Attenzione: lo spot è stato catalogato in questo sito nell’anno 1981, ma in realtà esisteva già nel 1978 secondo le nostre fonti: infatti appariva la versione “cartacea” di questo spot su Sorrisi e Canzoni di quell’anno.",1981,1980_1984,33.0,Spot 80,True,True
d9af2b12a41e4818b0b8ba08cc3ab962_015,Van Melle Mentos,30,"Happy mentos to you…un jingle all’epoca usato non solo in Italia, sulle note naturalmente di “Happy birthday to you”, per i famosi confetti oggi ancora più famosi per l’uso che se ne fa insieme alla COCA-COLA. I nostri esperti ci dicono che questo è il primo spot Mentos in assoluto ad essere stato trasmesso in Italia, ma come sempre accettiamo anche smentite.",1981,1980_1984,16.0,Spot 80,True,True
0ca1d405c11e447ca0f5f065db0dcb14_030,Renault 5,12,"Per tutti gli amanti dell’utilitaria francese che ha spopolato tra gli anni ’70 e ’80, prima di essere soppiantata dalla serie Supercinque, ecco uno spot dinamico e coinvolgente datato 1981, corredato da un orecchiabile motivetto in stile disco. E su Youtube potete trovare anche la versione completa inglese di questo spot: http://www.youtube.com/watch?v=D_2E3AJamhQ",1981,1980_1984,29.0,Spot 80,True,True
43ce66be5af1417390891af7f760a93a_015,Aiazzone Promozione Sposi ’82,35,"Altro spot Aiazzone, stavolta dedicato alle promozioni per i neo-sposi dell’estate 1982. Difficile resistere a una cucina in laminato plastico… le immagini e il jingle finali sono le medesime che concludevano tutti gli altri spot Aiazzone della prima metà degli anni ’80.",1982,1980_1984,17.0,Spot 80,True,True
ba4a3f015d1c44ce8d94c5caa6a15dd1_015,Akuel Profilattici,10,"In questo spot molto didascalico vengono mostrati tutti i prodotti della linea di profilattici Akuel. Singolare la frase pronunciata alla fine dello spot: nell’82 non si puntava per nulla al pericolo delle malattie sessualmente trasmissibili e il profilattico veniva venduto con il solo scopo della “pianificazione familiare”, ovvero per evitare gravidanze indesiderate.",1982,1980_1984,17.0,Spot 80,True,True
8751e9ca5996464799ea003c007ee79f_030,Alemagna Charms Gumbol Gumjelly Gumstrip Con Loretta Goggi,30,"Il video è preso da una registrazione degli inizi del 1983, ma lo spot fu girato (e anche trasmesso) l’anno prima, come si può leggere sul ciak nei primi fotogrammi. Il titolo di questo spot è ‘Charms, si gira! Con Loretta Goggi’, come annunciato all’inizio dal voice-over, in una maniera quasi caroselliana. Vediamo quindi la showgirl correre su un circuito a bordo di una monoposto per poi uscire di pista e dirigersi in una tabaccheria, per…’cambiare le gomme’.",1982,1980_1984,30.0,Spot 80,True,True
188190fb1a8344a594fac950fc8370e9_015,Alemagna Sanagola,30,"Sulla scia degli spot animati targati Alemagna, vi proponiamo oltre ai Krafen (presenti in un altra pagina del sito), le gommose Sanagola. Le caramelle sono qui raffigurate in quattro colori e gusti diversi, anche se la gamma comprendeva ben 9 gusti differenti.",1982,1980_1984,15.0,Spot 80,True,True
57ba0f416bed4748b66ca5fb1a42640a_030,Alfa Romeo Giulietta,12,"Un clichè già visto ma sempre efficace: cosa c’è di meglio del prodotto reclamizzato? La nuova versione del prodotto reclamizzato! Ecco quindi che la nuova Giulietta percorre più chilometri della vecchia, perchè consuma meno.",1982,1980_1984,31.0,Spot 80,True,True
feb633091cba4a768c8b80fcc6cb6abb_045,Arena Crocchelle Con Franco Rosi,29,"Questo spot per le Crocchelle Arena dell’82 ha per protagonista un fior di testimonial: Franco Rosi, storico imitatore nonchè voce del Supertelegattone Oscar nella trasmissione televisiva “Superclassifica show”. Stranamente assente il famosissimo “Sempre un pò di più Arena ti dà”.",1982,1980_1984,34.0,Spot 80,True,True
99a149d38007410b840ec2d60d5e9600_045,Ariel Lavatrice,3,"Convenzionale spot con tanto di “casalinga disperata” alle prese con lo sporco impossibile, e che alla fine gioisce dinanzi alle mirabolanti qualità del detersivo Ariel.",1982,1980_1984,34.0,Spot 80,True,True
5d4aa315310d4987a16820d0c0134dfe_015,Artsana Moto Chicco,28,Chi vuole una motoretta? Se volete tornare bambini per un attimo questa è sicuramente la moto adatta… E come non ricordare la storica musichetta: ‘Chicco-dove-c’èun-bambi-nooooo!’,1982,1980_1984,15.0,Spot 80,True,True
0491aeaed1f64aa1ab6619a8b5e3fb12_060,Assobirra Spot Istituzionale Con Renzo Arbore,32,"Uno storico spot istituzionale sulla birra, facente parte di una serie di spot in merito trasmessi nei primi anni ’80, che vede protagonista Renzo Arbore, che ci spiega che la birra è la bevanda alcolica più leggera, sia per gradazione alcolica che per contenuto calorico, concludendo al classico grido di ‘Meditate gente, meditate!’",1982,1980_1984,59.0,Spot 80,True,True
